"Internal ID","sample ID","Description","Control","Cortex","Hippo","Treatment","Day"
13,"13_lib323710_6346_6_1","CorP17_Ctrl",TRUE,TRUE,FALSE,FALSE,"P17"
15,"15_lib323711_6346_6_1","CorP17_Ctrl",TRUE,TRUE,FALSE,FALSE,"P17"
18,"18_lib323712_6346_6_1","CorP17_2Gy",FALSE,TRUE,FALSE,FALSE,"P17"
19,"19_lib323713_6346_6_1","CorP17_2Gy",FALSE,TRUE,FALSE,FALSE,"P17"
20,"20_lib323714_6346_6_1","CorP17_2Gy",FALSE,TRUE,FALSE,FALSE,"P17"
21,"21_lib323715_6346_6_1","CorP17_Ctrl",TRUE,TRUE,FALSE,FALSE,"P17"
23,"23_lib323716_6346_6_1","CorP17_2Gy",FALSE,TRUE,FALSE,FALSE,"P17"
24,"24_lib323717_6346_6_1","CorP17_2Gy",FALSE,TRUE,FALSE,FALSE,"P17"
38,"38_lib323726_6346_8_1","CorP17FA_Ctrl",TRUE,TRUE,FALSE,TRUE,"P17"
39,"39_lib323727_6346_8_1","CorP17FA_2Gy",FALSE,TRUE,FALSE,TRUE,"P17"
40,"40_lib323728_6346_8_1","CorP17FA_2Gy",FALSE,TRUE,FALSE,TRUE,"P17"
43,"43_lib323729_6346_8_1","CorP17FA_2Gy",FALSE,TRUE,FALSE,TRUE,"P17"
44,"44_lib323730_6346_8_1","CorP17FA_2Gy",FALSE,TRUE,FALSE,TRUE,"P17"
45,"45_lib323731_6346_8_1","CorP17FA_Ctrl",TRUE,TRUE,FALSE,TRUE,"P17"
46,"46_lib323732_6346_8_1","CorP17FA_Ctrl",TRUE,TRUE,FALSE,TRUE,"P17"
48,"48_lib323733_6346_8_1","CorP17FA_Ctrl",TRUE,TRUE,FALSE,TRUE,"P17"
