sample ID;sample;Description;Control;Cortex;Hippo;Treatment;Day;Condition;samples;
61_lib323742_6360_2_1;61;HipP17_Ctrl;TRUE;FALSE;TRUE;FALSE;P17;Ctrl;61;
63_lib323743_6360_2_1;63;HipP17_Ctrl;TRUE;FALSE;TRUE;FALSE;P17;Ctrl;63;
65_lib331181_6396_1_1;65;HipP17_2Gy;FALSE;FALSE;TRUE;FALSE;P17;2Gy;65;
66_lib323744_6360_2_1;66;HipP17_2Gy;FALSE;FALSE;TRUE;FALSE;P17;2Gy;66;
68_lib323746_6360_2_1;68;HipP17_2Gy;FALSE;FALSE;TRUE;FALSE;P17;2Gy;68;
69_lib323747_6360_2_1;69;HipP17_Ctrl;TRUE;FALSE;TRUE;FALSE;P17;Ctrl;69;
71_lib323748_6360_2_1;71;HipP17_2Gy;FALSE;FALSE;TRUE;FALSE;P17;2Gy;71;
72_lib323749_6360_2_1;72;HipP17_2Gy;FALSE;FALSE;TRUE;FALSE;P17;2Gy;72;
86_lib323758_6360_3_1;86;HipP17FA_Ctrl;TRUE;FALSE;TRUE;TRUE;P17;FA_Ctrl;86;
87_lib323759_6346_4_1;87;HipP17FA_2Gy;FALSE;FALSE;TRUE;TRUE;P17;FA_2Gy;87;
88_lib323760_6346_4_1;88;HipP17FA_2Gy;FALSE;FALSE;TRUE;TRUE;P17;FA_2Gy;88;
91_lib323761_6346_4_1;91;HipP17FA_2Gy;FALSE;FALSE;TRUE;TRUE;P17;FA_2Gy;91;
92_lib323762_6346_4_1;92;HipP17FA_2Gy;FALSE;FALSE;TRUE;TRUE;P17;FA_2Gy;92;
93_lib323763_6360_5_1;93;HipP17FA_Ctrl;TRUE;FALSE;TRUE;TRUE;P17;FA_Ctrl;93;
94_lib323764_6360_5_1;94;HipP17FA_Ctrl;TRUE;FALSE;TRUE;TRUE;P17;FA_Ctrl;94;
96_lib323765_6360_5_1;96;HipP17FA_Ctrl;TRUE;FALSE;TRUE;TRUE;P17;FA_Ctrl;96;
;;;;;;;;;;
